codigo_estacao,latitude,longitude,n_dias,inmet_p95,inmet_p99,inmet_max,era5_p95,era5_p99,era5_max
A821,-23.5053,-49.9464,6489,17.2,19.524023,29.0,12.9694605,15.045601,22.058
A822,-24.4339,-51.9539,3437,14.5,19.164015,29.2,12.4723,15.336901,20.8127
A823,-25.5678,-51.0781,6051,13.8,17.849998,34.2,13.26065,16.5091,26.2844
A824,-23.3903,-53.6358,4513,17.0,21.387987,32.0,12.724278,15.35699,22.8091
A825,-24.1839,-53.0489,3972,16.7,21.4,33.1,12.79547,15.527858,20.8996
A826,-29.7092,-55.5256,6632,14.5,18.0,26.2,14.7323265,17.49458,24.8113
A827,-31.3478,-54.0133,6497,16.9,21.2,40.0,14.72944,17.684702,24.6324
A828,-27.6578,-52.3058,5917,14.1,18.2,35.2,14.092477,17.693125,24.0463
A829,-28.7486,-50.0578,4305,20.9,24.8,44.4,17.156641,21.506866,28.7407
A830,-28.65,-56.0164,6226,15.6,20.325,32.0,14.250725,17.35045,22.5671
A831,-30.3686,-56.4372,6152,16.9,22.849022,33.6,14.806725,17.712152,26.078
A832,-30.3414,-54.3108,6312,14.9,18.7,30.5,14.370136,17.30998,25.1181
A833,-29.1916,-54.8857,5508,15.2,19.3,42.6,14.736869,18.023773,25.3102
A834,-30.0103,-50.1358,5067,17.9,21.6,36.8,16.455894,19.82321,30.4051
A835,-23.4053,-51.9328,6508,13.9,18.3,30.6,12.25509,14.90518,22.1867
A836,-32.5347,-53.3758,6547,16.1,20.9,34.7,14.540237,17.659288,26.8
A837,-28.8592,-52.5424,6344,19.1,23.856981,39.4,14.953286,18.671202,25.4459
A839,-28.2267,-52.4036,6861,16.6,21.1,33.0,14.8689,18.067898,26.1834
A840,-29.1644,-51.5342,6701,15.9,20.3,29.6,14.1755,17.7933,24.8883
A841,-27.1692,-51.5589,5788,17.2,22.212988,30.4,14.228239,17.235939,23.0099
A842,-23.4153,-50.5778,5147,16.2,19.254004,29.8,13.09474,14.968181,21.4976
A843,-25.6992,-53.0953,5863,16.5,22.3,40.3,12.81229,16.012596,22.4572
A844,-28.2224,-51.5128,6716,16.0,21.1,42.5,15.13335,18.635416,26.3241
A845,-28.1269,-49.4797,5276,29.1,33.925003,41.4,13.99825,18.133999,31.237
A846,-25.6019,-54.4831,5680,16.4,21.2,32.3,12.930484,15.772605,21.6772
A847,-25.4944,-48.3261,3429,14.3,18.771997,35.7,13.687419,16.382336,22.8466
A848,-26.2866,-53.6331,5579,16.4,20.022022,32.6,14.55299,18.24276,25.874
A849,-22.6394,-52.8903,5814,15.6,19.6,33.4,12.34842,14.73211,22.6889
A850,-22.6583,-52.1344,5384,17.58501,21.416992,35.4,12.13623,14.115386,23.0752
A851,-26.0814,-48.6417,6036,11.3,15.06499,27.8,12.136025,14.87866,25.0231
A852,-28.4172,-54.9625,6121,15.2,19.3,28.3,13.839,17.10893,24.4817
A853,-28.6033,-53.6736,6551,17.3,22.45,42.8,14.57505,18.284649,24.5953
A854,-27.3956,-53.4294,6401,14.2,18.4,31.4,13.5938,17.0162,25.906
A855,-25.7219,-53.7481,5737,16.5,22.0,35.2,12.754995,15.928639,22.3273
A856,-27.9203,-53.3181,6149,15.8,20.3,38.8,14.33902,17.7475,25.7107
A857,-26.7864,-53.5142,5552,16.9,21.449022,36.0,13.843754,17.582657,25.3363
A858,-26.9386,-52.3981,6074,17.1,21.127003,32.8,14.43914,18.44716,25.3976
A859,-26.8192,-50.9856,5923,14.3,18.0,31.9,14.27728,17.93953,25.7387
A860,-27.2886,-50.6042,6100,16.2,20.7,43.3,14.35985,17.68713,22.9688
A861,-26.9375,-50.1456,5804,13.2,18.1,30.8,13.836356,17.09544,24.9877
A862,-26.2486,-49.5742,6038,13.7,18.0,30.4,15.303365,18.841562,26.9313
A863,-27.4183,-49.6469,5938,13.0,17.6,31.1,12.500199,15.501193,25.1323
A864,-26.3936,-50.3633,5744,15.9,20.513966,33.6,13.219206,16.494122,24.1725
A865,-27.8022,-50.3356,3344,15.4,19.114014,24.8,14.355873,17.772741,22.3487
A866,-28.6044,-48.8133,4425,23.9,28.4,44.9,15.506698,18.67722,24.9771
A867,-28.9314,-49.4979,5768,15.2,19.233007,29.5,13.41938,15.903265,24.8642
A868,-26.9508,-48.7619,5282,12.0,16.4,33.9,12.096,14.600314,24.8735
A869,-23.3592,-52.9319,5694,14.8,18.9,27.8,12.256921,14.859284,21.0577
A870,-27.6786,-49.0419,2134,14.634997,18.2,24.2,14.213415,17.083643,28.7089
A871,-23.7733,-50.1806,5951,14.1,18.3,32.2,12.3202,14.45975,21.7246
A872,-24.2803,-50.2103,4276,14.6,19.0,28.1,12.738476,15.706724,21.9541
A873,-25.5089,-48.8086,6039,13.0,17.4,35.2,11.737981,14.901055,25.3872
A874,-25.8356,-50.3689,4968,11.0,13.8,32.7,13.705197,16.849833,27.5024
A875,-26.3986,-51.3536,6125,12.97998,16.8,23.7,14.786379,18.739565,24.8836
A876,-26.4172,-52.3486,5308,16.8,21.0,33.4,14.893085,18.385983,24.534
A878,-31.2483,-50.9064,4599,20.3,24.3,41.1,17.71181,21.338045,31.6657
A879,-29.3689,-50.8272,5778,15.8,19.9,48.8,15.10878,18.968706,25.5468
A880,-28.5136,-50.8828,6177,16.6,23.324022,44.8,15.143478,19.081072,25.2686
A881,-31.0025,-54.6181,4958,16.8,22.143019,34.9,14.801759,18.007742,24.9019
A882,-29.4492,-51.8233,4473,16.3,21.328026,35.2,13.3324,16.691494,23.4625
A883,-28.6533,-53.1119,4276,14.6,18.0,24.7,13.8985,18.048351,24.1029
A884,-29.6742,-51.0642,4222,12.6,16.8,25.0,13.687535,17.475101,24.6428
A886,-29.0894,-53.8267,3299,13.9,18.306005,35.5,14.84315,18.473892,25.0396
A889,-29.7022,-54.6944,3314,16.2,19.987011,25.1,13.933095,16.797049,22.5275
A893,-30.5431,-52.5247,2651,15.2,19.349998,32.2,14.998899,18.40215,27.2368
A894,-28.7047,-51.8708,3469,13.0,17.5,24.5,14.633875,18.36347,24.3656
A895,-27.0853,-52.6357,2423,17.2,21.6,30.1,13.473788,17.285706,22.6558
A897,-29.0492,-50.1497,3207,16.4,20.0,29.9,16.02919,19.918777,25.9892
A898,-27.3886,-51.2158,2419,15.6,19.682007,34.2,14.5511465,17.982151,21.9944
A901,-15.6069,-56.0608,7072,12.9,16.1,24.5,11.12935,12.758096,15.8211
A902,-14.65,-57.4317,6835,14.829981,18.9,25.0,11.04675,12.897046,16.1436
A903,-13.4539,-56.6772,6386,11.9,14.7,22.0,10.685425,12.810592,16.714
A904,-12.555,-55.7228,6028,13.2,16.4,22.7,10.0467,11.434432,14.6269
A905,-13.7858,-57.8386,5838,13.1,16.3,24.6,11.256214,13.673285,19.1372
A906,-9.9525,-54.8978,6353,12.7,16.4,24.8,9.92178,11.04818,13.8758
A907,-16.4625,-54.5803,7220,14.4,17.9,24.8,10.277734,11.865376,15.7523
A908,-14.0164,-52.2117,6051,14.7,18.3,24.8,9.99725,11.30155,14.6236
A909,-17.3394,-53.2244,4632,13.9,17.0,24.0,11.410006,12.825033,19.0317
A910,-9.5633,-57.3936,5291,12.0,15.2,22.2,10.1518,11.2763815,13.5518
A911,-13.3039,-58.7633,2640,15.805005,20.16101,40.0,10.831185,12.792594,16.4588
A912,-15.5589,-55.1794,6405,14.9,18.6,24.4,11.2441,12.786108,17.58
A913,-13.7081,-59.7625,5865,12.97998,15.9,23.2,11.415198,12.989685,17.5668
A914,-11.2803,-57.5267,4911,12.9,15.7,22.1,10.1789,11.4290695,14.1905
A915,-14.4214,-54.0361,4136,14.725,18.365015,24.5,10.73155,11.95273,15.2871
A916,-12.6031,-52.1625,5344,13.0,16.456982,24.3,10.737805,12.046904,15.3696
A917,-11.9822,-55.5661,5727,13.4,16.774023,24.2,10.195408,11.321367,15.1991
A918,-10.6394,-51.5714,3086,14.1,17.615015,23.8,10.4148,11.659041,13.0077
A919,-9.9064,-58.5722,5439,11.3,14.5,24.7,10.103991,11.372981,13.6564
A920,-11.375,-58.7747,5832,12.2,15.7,24.6,10.067189,11.430073,14.6403
